archivo,pdf_mb,md_lineas,md_kb,razonamiento_palabras,razonamiento_kb,json_kb,variables_total,verificadas_n1,id_corregido_n2,requiere_llm_n3,omitidas,pct_verificacion,ratio_compresion
Arequipa,16.27,912,53.2,4740,30.6,28.9,9,9,0,0,0,100.0,576.0
Arequipa10,33.52,2344,118.4,4734,31.8,29.2,8,6,2,0,0,100.0,1175.0
Arequipa11,29.35,1535,90.3,5958,38.8,42.8,14,13,0,1,0,92.9,702.0
Arequipa12,16.04,973,53.2,4334,28.3,31.7,9,9,0,0,0,100.0,518.0
Arequipa13,11.72,632,39.5,3484,23.2,19.2,8,7,0,1,0,87.5,625.0
Arequipa16,20.59,1193,72.4,5923,39.1,39.2,17,16,1,0,0,100.0,538.0
Arequipa17,13.28,720,40.9,4503,30.4,30.0,12,11,1,0,0,100.0,453.0
Arequipa18,13.26,811,44.6,3612,24.1,24.6,9,8,0,1,0,88.9,552.0
Arequipa19,20.14,1092,67.9,5221,35.2,37.0,17,17,0,0,0,100.0,557.0
Arequipa2,33.95,2355,128.6,3743,24.7,22.0,8,7,0,1,0,87.5,1580.0
Arequipa3,18.44,934,54.8,5020,33.0,33.7,7,5,2,0,0,100.0,560.0
Arequipa4,16.58,1201,63.0,4480,30.0,31.1,12,11,1,0,0,100.0,546.0
Arequipa5,31.16,2118,122.2,4320,28.3,22.9,8,8,0,0,0,100.0,1393.0
Arequipa6,10.92,565,32.4,3220,21.3,20.0,9,9,0,0,0,100.0,559.0
Arequipa7,16.38,1187,49.4,4487,30.0,35.5,13,13,0,0,0,100.0,472.0
Arequipa8,11.81,521,41.2,4440,28.9,26.3,11,11,0,0,0,100.0,460.0
Arequipa9,7.46,373,23.4,3040,20.5,20.3,8,8,0,0,0,100.0,376.0
