archivo,pdf_mb,md_lineas,md_kb,razonamiento_palabras,razonamiento_kb,json_kb,variables_total,verificadas_n1_codigo,corregidas_n2_ids,verificadas_n3_llm,pendientes_sin_verificar,omitidas_sin_evidencia,porcentaje_verificacion,ratio_compresion_pdf_json
Arequipa,16.27,912,53.2,4307,28.4,29.2,9,7,0,2,0,0,100.0,571.0
Arequipa10,33.52,2344,118.4,6307,41.9,33.6,14,12,2,0,0,0,100.0,1022.0
Arequipa11,29.35,1535,90.3,3930,26.1,23.8,7,7,0,0,0,0,100.0,1263.0
Arequipa12,16.04,973,53.2,4334,28.3,31.7,9,9,0,0,0,0,100.0,518.0
Arequipa13,11.72,632,39.5,3518,23.5,20.3,9,8,0,1,0,0,100.0,591.0
Arequipa16,20.59,1193,72.4,4967,32.8,36.5,13,12,0,1,0,0,100.0,578.0
Arequipa17,13.28,720,40.9,4010,26.4,25.3,9,8,1,0,0,0,100.0,537.0
Arequipa18,13.26,811,44.6,3612,24.1,24.6,9,8,0,1,0,0,100.0,552.0
Arequipa19,20.14,1092,67.9,5221,35.2,37.0,17,17,0,0,0,0,100.0,557.0
Arequipa2,33.95,2355,128.6,3743,24.7,22.0,8,7,0,1,0,0,100.0,1580.0
Arequipa3,18.44,934,54.8,5020,33.0,33.7,7,5,2,0,0,0,100.0,560.0
Arequipa4,16.58,1201,63.0,4480,30.0,31.1,12,11,1,0,0,0,100.0,546.0
Arequipa5,31.16,2118,122.2,3924,25.9,19.6,8,8,0,0,0,0,100.0,1628.0
Arequipa6,10.92,565,32.4,3220,21.3,20.0,9,9,0,0,0,0,100.0,559.0
Arequipa7,16.38,1187,49.4,3917,26.0,29.4,9,9,0,0,0,0,100.0,571.0
Arequipa8,11.81,521,41.2,4343,28.3,25.5,10,9,0,1,0,0,100.0,474.0
Arequipa9,7.46,373,23.4,3098,20.7,20.8,10,10,0,0,0,0,100.0,367.0
